calls,max_ms,mean_ms,query_sample,queryid,rows,total_ms
600,0.36,0.21,"select id, start_at, end_at, booking_date, start_time, end_time, party_size, status, customer_name, customer_email, created_at
      from public.bookings
      where restaurant_id = $1
        and start_at >= $2
        and start_at < $3
      order by start_at desc
      limit $4 offset $5",8925452674337904763,30000,126.18
600,1.14,0.36,"select id, start_at, end_at, booking_date, start_time, end_time, party_size, status, customer_name, customer_email, created_at
      from public.bookings
      where restaurant_id = $1
        and start_at >= $2
        and start_at < $3
        and (customer_name ilike $6 or customer_email ilike $6)
      order by start_at desc
      limit $4 offset $5",3375285890734606959,30000,215.74
200,0.27,0.14,"select b.id, b.status, b.start_time, b.end_time, b.party_size, b.customer_name, b.reference,
             a.table_id, t.table_number, t.capacity, t.section
      from public.bookings b
      left join public.booking_table_assignments a on a.booking_id = b.id
      left join public.table_inventory t on t.id = a.table_id
      where b.restaurant_id = $1
        and b.booking_date = $2
      order by b.start_time asc",-5073827570665881390,3000,28.11
50,29.26,9.35,"insert into public.customers (id, restaurant_id, full_name, email, phone) values ($1, $2, $3, $4, $5), ($6, $7, $8, $9, $10), ($11, $12, $13, $14, $15), ($16, $17, $18, $19, $20), ($21, $22, $23, $24, $25), ($26, $27, $28, $29, $30), ($31, $32, $33, $34, $35), ($36, $37, $38, $39, $40), ($41, $42, $43, $44, $45), ($46, $47, $48, $49, $50), ($51, $52, $53, $54, $55), ($56, $57, $58, $59, $60), ($61, $62, $63, $64, $65), ($66, $67, $68, $69, $70), ($71, $72, $73, $74, $75), ($76, $77, $78, $79, $8",4663962759163717404,10000,467.38
50,0.06,0.02,"select count(*)::int as n from public.customers where restaurant_id=$1 and email like $2",-993744666890677890,50,1.04
50,32.64,24.03,"insert into public.bookings (id, restaurant_id, customer_id, booking_date, start_time, end_time, start_at, end_at, party_size, seating_preference, status, customer_name, customer_email, customer_phone, notes, reference, source, booking_type, checked_in_at, checked_out_at) values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16, $17, $18, $19, $20), ($21, $22, $23, $24, $25, $26, $27, $28, $29, $30, $31, $32, $33, $34, $35, $36, $37, $38, $39, $40), ($41, $42, $43, $44, $45,",-7459640450888879732,10000,1201.51
50,3.79,2.56,"insert into public.customers (id, restaurant_id, full_name, email, phone) values ($1, $2, $3, $4, $5), ($6, $7, $8, $9, $10), ($11, $12, $13, $14, $15), ($16, $17, $18, $19, $20), ($21, $22, $23, $24, $25), ($26, $27, $28, $29, $30), ($31, $32, $33, $34, $35), ($36, $37, $38, $39, $40), ($41, $42, $43, $44, $45), ($46, $47, $48, $49, $50), ($51, $52, $53, $54, $55), ($56, $57, $58, $59, $60), ($61, $62, $63, $64, $65), ($66, $67, $68, $69, $70), ($71, $72, $73, $74, $75), ($76, $77, $78, $79, $8",-8531135500874206699,2500,127.76
50,29.41,16.08,"insert into public.bookings (id, restaurant_id, customer_id, booking_date, start_time, end_time, start_at, end_at, party_size, seating_preference, status, customer_name, customer_email, customer_phone, notes, reference, source, booking_type, checked_in_at, checked_out_at) values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16, $17, $18, $19, $20), ($21, $22, $23, $24, $25, $26, $27, $28, $29, $30, $31, $32, $33, $34, $35, $36, $37, $38, $39, $40), ($41, $42, $43, $44, $45,",-1057300786418801994,6500,803.90
50,0.07,0.02,"select count(*)::int as n from public.bookings where restaurant_id=$1 and reference like $2",-3106556272351643011,50,1.13
4,16.98,16.04,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",8057759706557922401,512,64.16
4,18.79,17.73,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",3129432609257649838,544,70.91
4,6.28,6.07,"select
          min(booking_date)::text as min,
          max(booking_date)::text as max
        from public.bookings
        where reference like $1",8499484755594338499,4,24.27
3,15.27,15.20,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",-3074405211669369519,387,45.59
3,17.74,16.98,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",-3853699890234656504,429,50.95
3,25.61,20.92,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",6097184294939148899,393,62.75
3,19.40,17.53,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",1002454799192641778,417,52.59
2,17.87,17.35,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",-2033796871967289842,270,34.69
2,17.84,16.72,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",-2953889350339947654,266,33.44
2,18.41,17.97,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",-8518057820954654322,276,35.95
2,16.83,16.79,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",-340747685353448890,264,33.57
2,0.65,0.38,"DROP INDEX IF EXISTS public.bookings_restaurant_date_idx",-2650039626053726982,0,0.76
2,15.44,14.80,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",-7114363431226555255,244,29.60
2,3.75,2.48,"CREATE OR REPLACE FUNCTION public.ops_email_delivery_attempts_feed(
  p_restaurant_id uuid,
  p_range text,
  p_page integer,
  p_page_size integer,
  p_statuses text[] DEFAULT NULL,
  p_recipient_email text DEFAULT NULL,
  p_message_id text DEFAULT NULL,
  p_booking_ref text DEFAULT NULL,
  p_template_type text DEFAULT NULL,
  p_email_type text DEFAULT NULL
)
RETURNS TABLE (
  ""messageId"" text,
  ""recipientEmail"" text,
  ""bookingId"" uuid,
  ""emailType"" text,
  ""templateType"" text,
  ""provider"" ",-6881012133404656828,0,4.96
2,2.84,2.22,"CREATE OR REPLACE FUNCTION public.ops_email_delivery_attempts_summary(
  p_restaurant_id uuid,
  p_range text,
  p_statuses text[] DEFAULT NULL,
  p_recipient_email text DEFAULT NULL,
  p_message_id text DEFAULT NULL,
  p_booking_ref text DEFAULT NULL,
  p_template_type text DEFAULT NULL,
  p_email_type text DEFAULT NULL
)
RETURNS TABLE (
  total integer,
  sent integer,
  delivered integer,
  ""deliveryDelayed"" integer,
  bounced integer,
  complained integer,
  failed integer,
  ""deliveredRate""",6709054759452343658,0,4.44
