queryid,calls,total_ms,mean_ms,max_ms,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,wal_bytes,query_sample
-1824580665906467204,2,606.41,303.21,485.40,8,374,4,0,0,6878,"COPY public.restaurants (id, name, slug, timezone, capacity, created_at, updated_at, contact_email, contact_phone, address, booking_policy, reservation_interval_minutes, reservation_default_duration_minutes, reservation_last_seating_buffer_"
-3305254689202866036,1,226.92,226.92,226.92,0,27,0,0,0,1654,"CREATE OR REPLACE FUNCTION realtime.send(payload jsonb, event text, topic text, private boolean DEFAULT true) RETURNS void AS $$ DECLARE partition_name text; partition_start timestamp; partition_end timestamp; BEGIN partition_start := date_"
2470460835413338610,1,215.43,215.43,215.43,0,496,42,0,0,175778,"CREATE TABLE IF NOT EXISTS ""realtime"".""schema_migrations"" (""version"" bigint, ""inserted_at"" timestamp(0), PRIMARY KEY (""version""))"
-8031926191321669092,1,212.08,212.08,212.08,50,180892,0,0,0,0,"with tables as ( SELECT c.oid :: int8 AS id, nc.nspname AS schema, c.relname AS name, c.relrowsecurity AS rls_enabled, c.relforcerowsecurity AS rls_forced, CASE WHEN c.relreplident = $1 THEN $2 WHEN c.relreplident = $3 THEN $4 WHEN c.relrep"
8096924662057039502,1,129.62,129.62,129.62,266,4105,2,0,0,76884,"COPY public.table_adjacencies (table_a, table_b, created_at) FROM stdin"
7839175238087676328,1,124.59,124.59,124.59,81,1598,5,0,0,44768,"COPY public.table_inventory (id, restaurant_id, table_number, capacity, section, status, ""position"", notes, created_at, updated_at, zone_id, category, seating_type, mobility, active, min_party_size, max_party_size) FROM stdin"
4188201983867421075,2,221.67,110.84,129.45,90,1204,2,0,0,23594,"COPY public.restaurant_service_periods (id, restaurant_id, name, day_of_week, start_time, end_time, created_at, updated_at, booking_option) FROM stdin"
-4659420876962054484,2,213.29,106.64,150.45,8,194,3,0,0,3756,"COPY public.booking_occasions (key, label, short_label, description, availability, default_duration_minutes, display_order, is_active, created_at, updated_at, is_builtin, deleted_at, created_by, updated_by) FROM stdin"
4566076159892086781,3,262.52,87.51,96.03,479,2321,0,384,3417,0,"with f as ( -- CTE with sane arg_modes, arg_names, and arg_types. -- All three are always of the same length. -- All three include all args, including OUT and TABLE args. with functions as ( select *, -- proargmodes is null when all arg mod"
-7726440967385220442,160,12651.82,79.07,2700.24,191040,0,0,0,0,0,SELECT name FROM pg_timezone_names
-2408321274686197938,2,154.86,77.43,91.07,36,345,2,0,0,9314,"COPY public.zones (id, restaurant_id, name, sort_order, created_at, updated_at, active) FROM stdin"
-5285135473811904703,1,76.31,76.31,76.31,0,19222,0,0,0,409303,"TRUNCATE TABLE public.table_adjacencies, public.table_merge_graph, public.table_inventory, public.allowed_capacities, public.zones, public.restaurant_capacity_rules, public.restaurant_turn_bands, public.restaurant_operating_hours, public.re"
4868794970434878014,1,75.57,75.57,75.57,1,0,0,0,0,24,"SELECT case when pg_is_in_recovery() then $2 else (pg_walfile_name_offset(lsn)).file_name end, lsn::text, pg_is_in_recovery() FROM pg_backup_start($1, $3) lsn"
-2954016512352317349,1,68.20,68.20,68.20,13,239,2,0,0,3540,"COPY public.allowed_capacities (restaurant_id, capacity, created_at, updated_at) FROM stdin"
-496224634570419452,2,133.25,66.62,71.46,58,467,2,0,0,15952,"COPY public.restaurant_operating_hours (id, restaurant_id, day_of_week, effective_date, opens_at, closes_at, is_closed, notes, created_at, updated_at, reservation_interval_minutes, reservation_slot_times) FROM stdin"
1528135177584734550,5,307.07,61.41,289.17,390,35,0,0,0,0,"SELECT e.name, n.nspname AS schema, e.default_version, x.extversion AS installed_version, e.comment FROM pg_available_extensions() e(name, default_version, comment) LEFT JOIN pg_extension x ON e.name = x.extname LEFT JOIN pg_namespace n ON "
-6139377058836695106,2,104.82,52.41,55.20,0,100,0,0,0,0,"COPY public.table_merge_graph (restaurant_id, table_a, table_b, merge_score, notes, created_at, updated_at, status) FROM stdin"
8808540327016435353,2,100.01,50.01,50.19,0,122,0,0,0,66,"COPY public.restaurant_capacity_rules (id, restaurant_id, service_period_id, day_of_week, effective_date, max_covers, max_parties, notes, created_at, updated_at, label, override_type) FROM stdin"
-4202310332653065943,2,95.24,47.62,50.06,0,140,0,0,0,0,"COPY public.strategic_configs (id, restaurant_id, updated_by, updated_at, created_at, scarcity_weight, demand_multiplier_override, future_conflict_penalty) FROM stdin"
-3462193083796908718,2,94.62,47.31,49.67,0,140,0,0,0,0,"COPY public.restaurant_turn_bands (id, restaurant_id, booking_option, max_party_size, duration_minutes, created_at, updated_at) FROM stdin"
1607429406926764349,2,89.23,44.61,49.95,0,72,0,0,0,0,"COPY public.service_policy (id, lunch_start, lunch_end, dinner_start, dinner_end, clean_buffer_minutes, allow_after_hours, created_at, updated_at) FROM stdin"
8142655228673104563,1,40.67,40.67,40.67,0,1059,37,0,0,8747,"DO $$ BEGIN IF NOT EXISTS(SELECT * FROM information_schema.columns WHERE table_schema = 'auth' and table_name='users' and column_name='email_confirmed_at') THEN ALTER TABLE ""auth"".""users"" RENAME COLUMN ""confirmed_at"" TO ""email_confirmed_at"""
