queryid,calls,total_ms,mean_ms,max_ms,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,wal_bytes,query_sample
-8266875133769530555,12212,44357.53,3.63,27.48,0,15752592,0,0,0,0,"SELECT wal->>$5 as type, wal->>$6 as schema, wal->>$7 as table, COALESCE(wal->>$8, $9) as columns, COALESCE(wal->>$10, $11) as record, COALESCE(wal->>$12, $13) as old_record, wal->>$14 as commit_timestamp, subscription_ids, errors FROM real"
-7726440967385220442,160,12651.82,79.07,2700.24,191040,0,0,0,0,0,SELECT name FROM pg_timezone_names
1528135177584734550,5,307.07,61.41,289.17,390,35,0,0,0,0,"SELECT e.name, n.nspname AS schema, e.default_version, x.extversion AS installed_version, e.comment FROM pg_available_extensions() e(name, default_version, comment) LEFT JOIN pg_extension x ON e.name = x.extname LEFT JOIN pg_namespace n ON "
8487862576617930575,7,94.61,13.52,30.08,7,12391,39,0,0,21002,"DELETE FROM ""users"" AS users WHERE users.id = $1"
-6237619394974271669,160,78.49,0.49,0.73,0,57280,0,0,0,0,"SELECT c.castsource::regtype::text, c.casttarget::regtype::text, c.castfunc::regproc::text FROM pg_catalog.pg_cast c JOIN pg_catalog.pg_type src_t ON c.castsource::oid = src_t.oid JOIN pg_catalog.pg_type dst_t ON c.casttarget::oid = dst_t.o"
4868794970434878014,1,75.57,75.57,75.57,1,0,0,0,0,24,"SELECT case when pg_is_in_recovery() then $2 else (pg_walfile_name_offset(lsn)).file_name end, lsn::text, pg_is_in_recovery() FROM pg_backup_start($1, $3) lsn"
8155291966402198186,2,43.73,21.87,25.98,2,0,0,0,0,100,"select case when not exists ( select $2 from pg_replication_slots where slot_name = $1 ) then ( select $3 from pg_create_logical_replication_slot($1, $4, $5) ) else $6 end"
-1720764314978235132,3,37.48,12.49,12.89,260,18754,0,0,0,0,"SELECT tbl.schemaname, tbl.tablename, tbl.quoted_name, tbl.is_table, json_agg(a) as columns FROM ( SELECT n.nspname as schemaname, c.relname as tablename, (quote_ident(n.nspname) || $1 || quote_ident(c.relname)) as quoted_name, $2 as is_tab"
8580411586163530256,7,36.11,5.16,6.81,1627,18531,0,0,0,0,"SELECT t.oid, t.typname, t.typsend, t.typreceive, t.typoutput, t.typinput, coalesce(d.typelem, t.typelem), coalesce(r.rngsubtype, $1), ARRAY ( SELECT a.atttypid FROM pg_attribute AS a WHERE a.attrelid = t.typrelid AND a.attnum > $2 AND NOT "
1689837619145390454,92,33.04,0.36,9.44,92,1072,0,0,0,0,SELECT * FROM pgbouncer.get_auth($1)
-7636120669495855217,1,27.67,27.67,27.67,1,0,0,0,0,58,"SELECT labelfile, spcmapfile, lsn FROM pg_backup_stop($1)"
8580411586163530256,3,14.92,4.97,5.02,699,7942,1,0,0,0,"SELECT t.oid, t.typname, t.typsend, t.typreceive, t.typoutput, t.typinput, coalesce(d.typelem, t.typelem), coalesce(r.rngsubtype, $1), ARRAY ( SELECT a.atttypid FROM pg_attribute AS a WHERE a.attrelid = t.typrelid AND a.attnum > $2 AND NOT "
-4750849476906528373,1,14.16,14.16,14.16,30,5317,0,0,0,0,"select n.nspname as schema, c.relname as table, c.reltuples::bigint as est_rows, pg_size_pretty(pg_total_relation_size(c.oid)) as total_size, pg_size_pretty(pg_relation_size(c.oid)) as table_size, pg_size_pretty(pg_indexes_size(c.oid)) as i"
-6893076640696223925,1,10.28,10.28,10.28,102,1582,0,0,0,0,"SELECT pol.oid :: int8 AS id, n.nspname AS schema, c.relname AS table, c.oid :: int8 AS table_id, pol.polname AS name, CASE WHEN pol.polpermissive THEN $1 :: text ELSE $2 :: text END AS action, CASE WHEN pol.polroles = $3 :: oid [] THEN arr"
-8789528950430113317,11,9.77,0.89,5.84,11,1037,8,0,0,21719,"INSERT INTO ""refresh_tokens"" (""created_at"", ""instance_id"", ""parent"", ""revoked"", ""session_id"", ""token"", ""updated_at"", ""user_id"") VALUES ($1, $2, $3, $4, $5, $6, $7, $8) returning id"
9139383688474518245,11,8.55,0.78,3.98,11,730,5,0,0,28722,"INSERT INTO ""sessions"" (""aal"", ""created_at"", ""factor_id"", ""id"", ""ip"", ""not_after"", ""oauth_client_id"", ""refresh_token_counter"", ""refresh_token_hmac_key"", ""refreshed_at"", ""scopes"", ""tag"", ""updated_at"", ""user_agent"", ""user_id"") VALUES ($1, $2,"
-5027817292150346595,12,4.84,0.40,1.84,12,216,0,0,0,16358,"INSERT INTO ""identities"" (""created_at"", ""id"", ""identity_data"", ""last_sign_in_at"", ""provider"", ""provider_id"", ""updated_at"", ""user_id"") VALUES ($1, $2, $3, $4, $5, $6, $7, $8)"
-5643122554370341715,12,3.72,0.31,1.28,12,390,0,0,0,18150,"INSERT INTO ""users"" (""aud"", ""banned_until"", ""confirmation_sent_at"", ""confirmation_token"", ""created_at"", ""deleted_at"", ""email"", ""email_change"", ""email_change_confirm_status"", ""email_change_sent_at"", ""email_change_token_current"", ""email_chang"
-902132887822798486,95,3.70,0.04,0.29,95,149,0,0,0,104,"SELECT users.aud, users.banned_until, users.confirmation_sent_at, users.confirmation_token, users.confirmed_at, users.created_at, users.deleted_at, users.email, users.email_change, users.email_change_confirm_status, users.email_change_sent_"
3341600687092967118,11,3.62,0.33,1.61,11,233,2,0,0,9059,"INSERT INTO mfa_amr_claims(id, session_id, created_at, updated_at, authentication_method) values ($1, $2, $3, $4, $5) ON CONFLICT ON CONSTRAINT mfa_amr_claims_session_id_authentication_method_pkey DO UPDATE SET updated_at = $6"
4762134411122352677,24,3.43,0.14,2.30,0,105,3,0,0,0,"select schemaname, tablename, format($2, schemaname, tablename)::regclass as oid from pg_publication_tables where pubname = $1"
-7821780334453251234,77,3.34,0.04,0.14,77,172,0,0,0,0,"select set_config('search_path', $1, true), set_config('role', $2, true), set_config('request.jwt.claims', $3, true), set_config('request.method', $4, true), set_config('request.path', $5, true), set_config('request.headers', $6, true), set"
5156235115104350202,1,3.13,3.13,3.13,1,4,0,0,0,0,"select pg_database_size(current_database()) as bytes, pg_size_pretty(pg_database_size(current_database())) as pretty"
5061829208393339328,109,2.69,0.02,0.06,109,218,0,0,0,0,"SELECT identities.created_at, identities.email, identities.id, identities.identity_data, identities.last_sign_in_at, identities.provider, identities.provider_id, identities.updated_at, identities.user_id FROM identities AS identities WHERE "
-5070840527365610051,1,2.35,2.35,2.35,7,5,0,0,0,0,"select r.slug, rm.role, count(*) as members from public.restaurant_memberships rm join public.restaurants r on r.id=rm.restaurant_id group by r.slug, rm.role order by r.slug, rm.role"
-2274209716896360439,96,2.21,0.02,0.07,96,237,0,0,0,0,"SELECT sessions.aal, sessions.created_at, sessions.factor_id, sessions.id, sessions.ip, sessions.not_after, sessions.oauth_client_id, sessions.refresh_token_counter, sessions.refresh_token_hmac_key, sessions.refreshed_at, sessions.scopes, s"
