"finding_id","severity","slug","title","source_file","finding_path","root_cause_epic","root_cause_title","owner","sprint","labels"
"auth-bypass-36c9c17609","CRITICAL","auth-bypass","Team invite creation leaks bearer invite tokens enabling account takeover","src/app/app/(app)/settings/restaurant/team/page.tsx",".deepsec/findings/CRITICAL/nabatableLP-auth-bypass-36c9c17609.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"auth-bypass-39d290830a","CRITICAL","auth-bypass","Invitation acceptance can reset an existing user's password","src/app/api/team/invitations/[token]/accept/route.ts",".deepsec/findings/CRITICAL/nabatableLP-auth-bypass-39d290830a.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"auth-bypass-8436af8198","CRITICAL","auth-bypass","Invitation acceptance can take over existing or new email accounts","src/app/api/team/invitations/[token]/accept/route.ts",".deepsec/findings/CRITICAL/nabatableLP-auth-bypass-8436af8198.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"other-account-takeover-809137802e","CRITICAL","other-account-takeover","Invite token disclosure enables account takeover through the accept flow","src/app/api/ops/team/invitations/route.ts",".deepsec/findings/CRITICAL/nabatableLP-other-account-takeover-809137802e.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"other-account-takeover-847a9db109","CRITICAL","other-account-takeover","Invite creator receives a bearer token that can reset existing users' passwords","src/app/api/ops/team/invitations/route.ts",".deepsec/findings/CRITICAL/nabatableLP-other-account-takeover-847a9db109.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"acl-check-07c04d4188","HIGH","acl-check","Global occasion mutations lack backend role authorization","src/components/features/restaurant-settings/OccasionsSection.tsx",".deepsec/findings/HIGH/nabatableLP-acl-check-07c04d4188.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-119d3cff67","HIGH","acl-check","Authenticated users can overwrite another restaurant's service periods","src/app/api/onboarding/restaurant/[id]/service-periods/route.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-119d3cff67.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-13eafca14b","HIGH","acl-check","Non-admin restaurant members can mutate table and zone settings","src/app/app/(app)/settings/restaurant/tables/page.tsx",".deepsec/findings/HIGH/nabatableLP-acl-check-13eafca14b.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-19e3129f1f","HIGH","acl-check","Zone update and delete allow non-admin restaurant members","src/app/api/ops/zones/[id]/route.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-19e3129f1f.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-1a7d0ba02d","HIGH","acl-check","Global booking occasions can be changed without role authorization","src/components/features/restaurant-settings/OccasionsSection.tsx",".deepsec/findings/HIGH/nabatableLP-acl-check-1a7d0ba02d.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-1bc3832188","HIGH","acl-check","Non-admin restaurant members can update or delete zones","src/app/api/ops/zones/[id]/route.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-1bc3832188.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-2284b9df57","HIGH","acl-check","Occasion mutations rely on handlers with no backend admin authorization","src/services/ops/occasions.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-2284b9df57.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-2a6634ed16","HIGH","acl-check","Any authenticated user can create zones for arbitrary restaurants","src/app/api/onboarding/restaurant/[id]/zones/route.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-2a6634ed16.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-2b0387af68","HIGH","acl-check","Managers can grant owner role through direct invite payloads","server/team/invitations.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-2b0387af68.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"acl-check-2feb13ed9a","HIGH","acl-check","Managers can create owner invitations by bypassing the UI","src/app/api/ops/team/invitations/route.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-2feb13ed9a.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
