queryid,calls,total_ms,mean_ms,max_ms,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,wal_bytes,query_sample
-8266875133769530555,12212,44357.53,3.63,27.48,0,15752592,0,0,0,0,"SELECT wal->>$5 as type, wal->>$6 as schema, wal->>$7 as table, COALESCE(wal->>$8, $9) as columns, COALESCE(wal->>$10, $11) as record, COALESCE(wal->>$12, $13) as old_record, wal->>$14 as commit_timestamp, subscription_ids, errors FROM real"
-8390746607827764824,182,1.75,0.01,0.02,0,0,0,0,0,0,SET client_encoding = 'UTF8'
5947864457175217504,182,0.50,0.00,0.02,0,0,0,0,0,0,SET client_min_messages TO WARNING
-7025816098001848037,180,2.58,0.01,0.06,0,0,0,0,0,0,BEGIN ISOLATION LEVEL READ COMMITTED READ ONLY
3592621174565712767,160,10.90,0.07,0.72,0,1440,0,0,0,0,"WITH role_setting AS ( SELECT setdatabase as database, unnest(setconfig) as setting FROM pg_catalog.pg_db_role_setting WHERE setrole = CURRENT_USER::regrole::oid AND setdatabase IN ($2, (SELECT oid FROM pg_catalog.pg_database WHERE datname "
4272184973515172242,160,235.13,1.47,3.76,6260,107398,0,0,0,82,"WITH pks_uniques_cols AS ( SELECT conrelid, array_agg(key order by key) as cols FROM pg_constraint, LATERAL unnest(conkey) AS _(key) WHERE contype IN ($1, $2) AND connamespace <> $3::regnamespace GROUP BY oid, conrelid ) SELECT ns1.nspname "
-6237619394974271669,160,78.49,0.49,0.73,0,57280,0,0,0,0,"SELECT c.castsource::regtype::text, c.casttarget::regtype::text, c.castfunc::regproc::text FROM pg_catalog.pg_cast c JOIN pg_catalog.pg_type src_t ON c.castsource::oid = src_t.oid JOIN pg_catalog.pg_type dst_t ON c.casttarget::oid = dst_t.o"
-8155911832923525096,160,1.08,0.01,0.02,0,0,0,0,0,0,set local schema ''
-2835399305386018931,160,0.23,0.00,0.00,0,0,0,0,0,0,COMMIT
7899190504599315261,160,314.22,1.96,2.71,320,84157,3,0,0,0,"with role_setting as ( select r.rolname, unnest(r.rolconfig) as setting from pg_auth_members m join pg_roles r on r.oid = m.roleid where member = current_user::regrole::oid ), kv_settings AS ( SELECT rolname, substr(setting, $1, strpos(sett"
-6019717523838313193,160,323.16,2.02,3.99,0,24034,18,0,0,120,"with recursive pks_fks as ( -- pk + fk referencing col select contype::text as contype, conname, array_length(conkey, $3) as ncol, conrelid as resorigtbl, col as resorigcol, ord from pg_constraint left join lateral unnest(conkey) with ordin"
-5945916706620701072,160,250.80,1.57,2.27,0,26905,2,0,0,964,"with all_relations as ( select reltype from pg_class where relkind in ($1,$2,$3,$4,$5) ), computed_rels as ( select (parse_ident(p.pronamespace::regnamespace::text))[$6] as schema, p.proname::text as name, arg_schema.nspname::text as rel_ta"
-7726440967385220442,160,12651.82,79.07,2700.24,191040,0,0,0,0,0,SELECT name FROM pg_timezone_names
-803669021344718684,160,1.53,0.01,0.04,160,0,0,0,0,0,"SELECT current_setting($1)::integer, current_setting($2), version()"
7459086053737063230,160,56.13,0.35,0.62,0,5466,0,0,0,186,"with all_relations as ( select reltype from pg_class where relkind in ($2,$3,$4,$5,$6) union select oid from pg_type where typname = $7 ), media_types as ( SELECT t.oid, lower(t.typname) as typname, t.typnamespace, case t.typname when $8 th"
-1368919766788970690,160,2358.71,14.74,29.98,11142,286192,85,0,0,19730,"WITH -- Recursively get the base types of domains base_types AS ( WITH RECURSIVE recurse AS ( SELECT oid, typbasetype, typnamespace AS base_namespace, COALESCE(NULLIF(typbasetype, $2), oid) AS base_type FROM pg_type UNION SELECT t.oid, b.ty"
5299301975933694258,160,3782.44,23.64,39.02,4407,350822,242,0,0,51084,"WITH -- Recursively get the base types of domains base_types AS ( WITH RECURSIVE recurse AS ( SELECT oid, typbasetype, typnamespace AS base_namespace, COALESCE(NULLIF(typbasetype, $3), oid) AS base_type FROM pg_type UNION SELECT t.oid, b.ty"
11701968915743190,149,0.15,0.00,0.02,0,0,0,0,0,0,begin
-2835399305386018931,147,0.16,0.00,0.00,0,0,0,0,0,0,commit
-1632729103947873238,109,1.00,0.01,0.03,0,218,0,0,0,0,"SELECT mfa_factors.created_at, mfa_factors.factor_type, mfa_factors.friendly_name, mfa_factors.id, mfa_factors.last_challenged_at, mfa_factors.last_webauthn_challenge_data, mfa_factors.phone, mfa_factors.secret, mfa_factors.status, mfa_fact"
5061829208393339328,109,2.69,0.02,0.06,109,218,0,0,0,0,"SELECT identities.created_at, identities.email, identities.id, identities.identity_data, identities.last_sign_in_at, identities.provider, identities.provider_id, identities.updated_at, identities.user_id FROM identities AS identities WHERE "
11701968915743190,99,0.10,0.00,0.01,0,0,0,0,0,0,begin
-2835399305386018931,99,0.11,0.00,0.01,0,0,0,0,0,0,commit
4428565640175106611,96,1.58,0.02,0.05,96,192,0,0,0,0,"SELECT mfa_amr_claims.authentication_method, mfa_amr_claims.created_at, mfa_amr_claims.id, mfa_amr_claims.session_id, mfa_amr_claims.updated_at FROM mfa_amr_claims AS mfa_amr_claims WHERE session_id = $1"
-2274209716896360439,96,2.21,0.02,0.07,96,237,0,0,0,0,"SELECT sessions.aal, sessions.created_at, sessions.factor_id, sessions.id, sessions.ip, sessions.not_after, sessions.oauth_client_id, sessions.refresh_token_counter, sessions.refresh_token_hmac_key, sessions.refreshed_at, sessions.scopes, s"
-902132887822798486,95,3.70,0.04,0.29,95,149,0,0,0,104,"SELECT users.aud, users.banned_until, users.confirmation_sent_at, users.confirmation_token, users.confirmed_at, users.created_at, users.deleted_at, users.email, users.email_change, users.email_change_confirm_status, users.email_change_sent_"
1689837619145390454,90,32.85,0.37,9.44,90,1070,0,0,0,0,SELECT * FROM pgbouncer.get_auth($1)
-7821780334453251234,77,3.34,0.04,0.14,77,172,0,0,0,0,"select set_config('search_path', $1, true), set_config('role', $2, true), set_config('request.jwt.claims', $3, true), set_config('request.method', $4, true), set_config('request.path', $5, true), set_config('request.headers', $6, true), set"
-5340225314920111913,68,1.66,0.02,0.05,2211,66,0,0,0,0,"SELECT s0.""version"" FROM ""realtime"".""schema_migrations"" AS s0"
-6245076194334515011,68,0.95,0.01,0.07,0,36,0,0,0,0,"LOCK TABLE ""realtime"".""schema_migrations"" IN SHARE UPDATE EXCLUSIVE MODE"
-2989875153471732559,67,1.32,0.02,0.05,67,66,1,0,0,0,SELECT EXISTS (SELECT schema_migrations.* FROM schema_migrations AS schema_migrations WHERE version = $1)
3365402895464766725,67,1.73,0.03,0.11,67,144,0,0,0,9135,"INSERT INTO ""realtime"".""schema_migrations"" (""version"",""inserted_at"") VALUES ($1,$2)"
6972830137083892210,67,1.63,0.02,0.12,67,136,0,0,0,10168,insert into schema_migrations (version) values ($1)
3396884957797646053,60,0.48,0.01,0.02,0,0,0,0,0,0,SHOW transaction_read_only
-8678393136245128980,50,0.09,0.00,0.01,0,0,0,0,0,0,SET idle_session_timeout='58s'
3337295325342523197,50,2.20,0.04,0.40,50,181,2,0,0,14458,"INSERT INTO migrations (""id"", ""name"", ""hash"") VALUES ($1,$2,$3)"
-929121560566933671,50,0.71,0.01,0.03,0,0,0,0,0,0,SET statement_timeout='58s'
8482053081020301314,46,0.10,0.00,0.00,0,0,0,0,0,0,deallocate $1
-2835399305386018931,44,0.04,0.00,0.00,0,0,0,0,0,0,COMMIT
-9149474013112668114,44,0.04,0.00,0.00,0,0,0,0,0,0,START TRANSACTION
5360251647081715348,34,1.68,0.05,0.13,34,63,0,0,0,0,"select set_config('search_path', $1, true), set_config($2, $3, true), set_config('role', $4, true), set_config('request.jwt.claims', $5, true), set_config('request.method', $6, true), set_config('request.path', $7, true), set_config('reques"
-8648660022750982278,29,0.84,0.03,0.08,14,44,0,0,0,102,"SELECT users.aud, users.banned_until, users.confirmation_sent_at, users.confirmation_token, users.confirmed_at, users.created_at, users.deleted_at, users.email, users.email_change, users.email_change_confirm_status, users.email_change_sent_"
4762134411122352677,24,3.43,0.14,2.30,0,105,3,0,0,0,"select schemaname, tablename, format($2, schemaname, tablename)::regclass as oid from pg_publication_tables where pubname = $1"
-5177437022918930568,20,1.42,0.07,0.66,20,0,0,0,0,0,select setting from pg_config where name = $1
